DocumentoHospede,DataCheckin,DataCheckout,NumeroQuarto,TipoQuarto,ValorReserva
04442976610,2020-02-05,2020-02-06,665,Luxo,1005.67
04442976610,2020-08-17,2020-08-31,406,Luxo,818.42
86946154514,2021-01-29,2021-02-08,756,Luxo,1256.61
86946154514,2021-06-17,2021-06-28,988,Executivo,746.84
86946154514,2022-02-20,2022-03-05,157,Executivo,308.71
86946154514,2022-09-27,2022-10-09,785,Luxo,553.29
86536155749,2023-09-03,2023-09-13,683,Standard,1479.5
86536155749,2022-11-12,2022-11-19,263,Luxo,1063.97
86536155749,2022-04-20,2022-04-26,201,Executivo,291.52
86536155749,2021-09-18,2021-09-21,493,Luxo,744.59
10284216665,2023-08-24,2023-09-08,922,Executivo,1109.99
10284216665,2022-10-09,2022-10-13,689,Executivo,704.78
10284216665,2021-10-05,2021-10-11,969,Luxo,303.33
10284216665,2020-04-04,2020-04-12,179,Standard,1162.8
70829190431,2021-06-15,2021-06-19,423,Luxo,1033.37
70829190431,2023-02-03,2023-02-14,565,Executivo,500.88
13181047413,2020-12-27,2021-01-03,947,Executivo,1025.74
13181047413,2020-03-03,2020-03-06,400,Executivo,1463.41
64842262258,2021-03-29,2021-04-04,495,Standard,698.33
64842262258,2023-06-29,2023-07-14,818,Standard,1137.43
64842262258,2023-11-16,2023-11-29,238,Standard,620.18
64842262258,2020-05-15,2020-05-22,541,Executivo,500.43
78297260046,2024-01-19,2024-02-01,543,Executivo,333.38
78297260046,2023-04-15,2023-04-27,808,Executivo,1479.62
74997500886,2023-11-12,2023-11-18,226,Executivo,873.55
74997500886,2023-02-05,2023-02-09,963,Executivo,1137.74
74997500886,2023-05-16,2023-05-19,388,Executivo,1350.58
70135168025,2023-12-17,2023-12-30,852,Executivo,671.19
70135168025,2022-01-03,2022-01-14,184,Standard,978.08
63247317812,2022-05-09,2022-05-16,168,Luxo,525.24
63247317812,2022-01-25,2022-01-30,424,Luxo,1296.64
50898770570,2021-08-02,2021-08-17,541,Luxo,1004.54
54488456761,2020-03-11,2020-03-16,757,Luxo,1231.29
54488456761,2022-01-11,2022-01-24,251,Executivo,585.71
54488456761,2023-11-03,2023-11-08,536,Luxo,1405.24
31731064815,2021-06-13,2021-06-14,989,Executivo,1059.64
31731064815,2023-11-03,2023-11-16,416,Standard,837.9
31731064815,2023-02-02,2023-02-08,481,Standard,695.2
